StudentID,Name,Gender,Age,DOB,Grade,Section,City,ParentalEducationLevel,InternetQuality,DeviceUsedForStudy,LearningStyle,BehaviourRating,ClubMember,MathScore,PhysicsScore,ChemistryScore,BiologyScore,EnglishScore,ComputerScore,AverageMarks,GPA,Passed,AttendancePercent,TotalFees,FeesPaid,RemainingFees,StudyHoursPerWeek,TestPreparation,HealthFactor,TransportRequired,OnlineClassParticipation,AssignmentsSubmitted,ProjectsCompleted
S2037,Maya Reddy,Female,16,2009-09-01,9,B,Mumbai,Graduate,Excellent,Phone,Auditory,Excellent,NCC,66,56,65,36,42,36,50.17,5.02,Yes,51.2,80000,11864,68136,6,Yes,Poor,No,9.6,14,5
S2038,Siddharth Mehta,Male,18,2007-01-30,9,D,Chennai,Secondary,Average,None,Auditory,Average,Dance,58,79,84,35,50,30,56.0,5.6,No,63.9,80000,37718,42282,23,Yes,Good,Yes,6.0,47,10
S2039,Siddharth Singh,Male,19,2006-11-06,10,C,Bengaluru,None,Poor,Laptop,Reading/Writing,Excellent,None,29,21,38,88,80,46,50.33,5.03,No,94.2,80000,24410,55590,20,Yes,Good,Yes,8.0,48,6
S2040,Rohit Sharma,Male,15,2010-04-13,9,B,Chennai,None,Good,Laptop,Visual,Average,Debate,84,62,73,69,81,68,72.83,7.28,Yes,71.1,40000,24540,15460,28,No,Poor,No,4.4,15,3
S2041,Aditya Khanna,Other,17,2008-08-20,9,E,Pune,Graduate,Poor,Laptop,Reading/Writing,Excellent,Coding,24,82,47,79,94,62,64.67,6.47,No,77.7,100000,63974,36026,16,No,Average,No,4.2,32,5
S2042,Ishaan Khandelwal,Male,16,2009-02-26,12,E,Pune,Graduate,Poor,Tablet,Auditory,Excellent,NSS,36,68,21,38,97,52,52.0,5.2,No,52.7,100000,77337,22663,20,Yes,Poor,Yes,5.9,41,4
S2043,Maya Shah,Female,17,2008-08-11,9,B,Hyderabad,Graduate,Excellent,Tablet,Kinesthetic,Excellent,Music,72,32,96,81,38,53,62.0,6.2,No,93.1,50000,34315,15685,24,No,Poor,No,7.1,46,3
S2044,Rohit Verma,Female,18,2007-08-11,11,A,Bengaluru,Primary,Average,Laptop,Reading/Writing,Poor,Debate,37,45,37,23,50,73,44.17,4.42,No,94.8,50000,8235,41765,1,Yes,Good,No,6.4,37,3
S2045,Aisha Dutta,Female,15,2010-05-02,9,C,Bengaluru,Primary,Poor,Tablet,Reading/Writing,Excellent,None,45,68,67,61,67,97,67.5,6.75,Yes,68.3,50000,30861,19139,11,Yes,Poor,No,5.5,18,6
S2046,Priya Chopra,Female,19,2006-02-09,12,A,Bengaluru,Secondary,Average,Tablet,Reading/Writing,Good,Music,77,85,46,74,63,83,71.33,7.13,Yes,81.9,60000,26678,33322,23,No,Average,No,5.2,39,4
S2047,Maya Khanna,Male,15,2010-02-04,10,C,Mumbai,Primary,Average,Laptop,Kinesthetic,Good,Music,30,47,41,58,32,81,48.17,4.82,No,86.1,50000,29759,20241,17,Yes,Good,Yes,6.3,11,4
S2048,Siddharth Malhotra,Other,15,2010-04-17,11,B,Chennai,Primary,Good,Phone,Visual,Excellent,Drama,20,48,62,93,55,79,59.5,5.95,No,68.8,40000,21974,18026,4,No,Average,Yes,9.5,23,6
S2049,Aisha Agarwal,Male,14,2011-02-16,11,A,Mumbai,Secondary,Good,None,Kinesthetic,Excellent,Robotics,30,60,49,57,31,41,44.67,4.47,No,72.5,80000,7476,72524,11,Yes,Average,No,3.2,45,7
S2050,Aditya Patel,Other,16,2009-10-21,12,D,Nagpur,Postgraduate,Average,Laptop,Visual,Good,Music,51,93,68,82,77,77,74.67,7.47,Yes,63.6,40000,15166,24834,11,Yes,Good,Yes,4.0,44,2
S2051,Arjun Reddy,Other,18,2007-03-27,10,E,Kolkata,Postgraduate,Excellent,Laptop,Kinesthetic,Good,Debate,29,69,28,89,94,66,62.5,6.25,No,56.9,50000,26537,23463,17,No,Poor,No,2.4,45,7
S2052,Aditya Dutta,Female,19,2006-05-27,10,A,Mumbai,Postgraduate,Good,Laptop,Auditory,Average,Music,44,23,35,21,93,58,45.67,4.57,No,57.7,100000,65003,34997,18,No,Good,Yes,4.7,25,6
S2053,Arjun Singh,Other,19,2006-03-27,11,D,Pune,Secondary,Good,Phone,Visual,Average,Coding,88,49,90,51,27,83,64.67,6.47,No,51.0,100000,66867,33133,3,No,Poor,No,7.6,31,8
S2054,Priya Sharma,Other,18,2007-01-14,9,D,Pune,Primary,Excellent,Phone,Auditory,Good,Drama,49,40,90,75,74,62,65.0,6.5,Yes,73.2,50000,18514,31486,7,Yes,Poor,Yes,2.4,39,4
S2055,Priya Dutta,Male,19,2006-10-05,9,A,Pune,Secondary,Excellent,Laptop,Visual,Poor,Music,43,23,59,63,51,34,45.5,4.55,No,97.5,60000,58518,1482,16,Yes,Good,Yes,3.4,23,0
S2056,Aarav Joshi,Male,19,2006-01-21,9,C,Nagpur,Graduate,Excellent,Laptop,Visual,Average,Robotics,51,49,35,79,56,47,52.83,5.28,Yes,86.7,30000,28486,1514,14,No,Average,Yes,6.5,30,7
S2057,Krisha Shah,Other,15,2010-11-22,9,B,Pune,Postgraduate,Poor,Laptop,Auditory,Poor,Debate,39,28,33,30,81,39,41.67,4.17,No,71.3,30000,1591,28409,3,No,Poor,No,2.3,50,8
S2058,Rohit Patel,Female,15,2010-05-18,11,D,Delhi,Primary,Good,Phone,Kinesthetic,Excellent,Robotics,86,34,30,41,58,73,53.67,5.37,No,91.5,60000,59634,366,21,Yes,Good,Yes,6.6,22,0
S2059,Maya Patel,Male,18,2007-09-08,12,B,Nagpur,Secondary,Poor,Phone,Kinesthetic,Poor,NSS,79,33,60,81,83,100,72.67,7.27,Yes,89.7,100000,42409,57591,19,Yes,Average,No,5.8,11,4
S2060,Siddharth Gupta,Male,19,2006-02-16,9,A,Mumbai,Postgraduate,Average,Phone,Kinesthetic,Excellent,Drama,39,57,84,20,46,82,54.67,5.47,No,60.5,100000,39373,60627,23,No,Poor,No,8.0,32,5
S2061,Arjun Agarwal,Other,17,2008-07-03,11,E,Bengaluru,Graduate,Good,Tablet,Visual,Excellent,Drama,92,56,49,99,62,49,67.83,6.78,Yes,80.3,80000,1563,78437,10,No,Average,No,4.4,45,6
S2062,Neha Joshi,Other,15,2010-07-13,12,B,Bengaluru,None,Good,Phone,Visual,Good,NSS,95,100,85,43,75,76,79.0,7.9,Yes,50.1,60000,13357,46643,5,No,Poor,Yes,5.0,17,5
S2063,Arjun Bhatia,Other,15,2010-06-07,12,B,Pune,Graduate,Poor,Phone,Kinesthetic,Average,Coding,53,51,36,86,83,87,66.0,6.6,Yes,84.2,100000,95972,4028,14,No,Poor,No,1.4,13,2
S2064,Arjun Malhotra,Male,17,2008-10-01,12,A,Hyderabad,Primary,Good,None,Auditory,Average,Coding,53,83,79,93,91,43,73.67,7.37,Yes,90.8,80000,75825,4175,30,No,Good,Yes,8.2,13,10
S2065,Vivaan Malhotra,Other,14,2010-11-30,10,E,Chennai,Secondary,Average,None,Reading/Writing,Excellent,Robotics,40,98,48,23,53,95,59.5,5.95,No,77.2,30000,22116,7884,26,No,Average,Yes,2.6,10,5
S2066,Ritika Joshi,Other,17,2008-04-08,9,E,Delhi,Graduate,Poor,None,Reading/Writing,Average,Sports,85,57,29,77,84,38,61.67,6.17,No,50.6,40000,3592,36408,25,Yes,Average,No,7.0,10,7
S2067,Maya Bose,Other,15,2010-04-21,11,E,Delhi,Postgraduate,Good,None,Reading/Writing,Excellent,Coding,66,69,41,48,61,59,57.33,5.73,Yes,94.4,30000,24139,5861,14,No,Poor,No,6.7,18,5
S2068,Vivaan Verma,Male,17,2008-06-07,9,B,Hyderabad,Postgraduate,Poor,None,Reading/Writing,Average,NSS,26,90,56,36,70,90,61.33,6.13,No,65.8,80000,51987,28013,9,No,Poor,Yes,6.3,43,3
S2069,Maya Patel,Female,17,2008-09-13,10,D,Delhi,Primary,Good,Laptop,Auditory,Good,NSS,65,20,93,81,78,74,68.5,6.85,No,82.4,50000,30585,19415,18,No,Average,No,9.5,21,7
S2070,Riya Khanna,Male,15,2010-08-28,12,B,Hyderabad,Primary,Excellent,Phone,Auditory,Average,Dance,29,51,88,84,95,66,68.83,6.88,No,56.0,80000,17496,62504,27,No,Good,No,5.6,42,5
S2071,Vivaan Verma,Other,16,2009-06-20,11,C,Hyderabad,Primary,Average,None,Auditory,Average,Robotics,60,57,34,27,42,42,43.67,4.37,No,66.0,100000,38829,61171,19,No,Good,Yes,4.2,34,1
S2072,Priya Chopra,Female,17,2008-05-03,11,E,Delhi,Postgraduate,Good,None,Visual,Excellent,Drama,37,74,79,63,44,96,65.5,6.55,Yes,60.3,100000,35763,64237,5,No,Good,No,2.0,33,7
S2073,Priya Bose,Male,16,2009-01-07,10,A,Bengaluru,Secondary,Average,Phone,Reading/Writing,Excellent,Coding,63,33,51,58,63,44,52.0,5.2,Yes,50.6,40000,10348,29652,10,Yes,Good,Yes,7.2,33,4
S2074,Krisha Kumar,Male,16,2008-11-29,12,C,Mumbai,None,Average,Tablet,Auditory,Poor,Music,52,88,87,41,67,90,70.83,7.08,Yes,86.9,40000,37410,2590,18,Yes,Poor,Yes,3.6,15,8
S2075,Riya Shah,Other,16,2009-06-14,11,D,Mumbai,None,Average,None,Visual,Poor,NSS,92,98,87,47,40,68,72.0,7.2,Yes,51.0,50000,13769,36231,9,No,Good,No,9.3,22,10
S2076,Riya Bhatia,Female,19,2006-01-31,11,B,Chennai,None,Poor,None,Visual,Good,Robotics,70,60,85,61,64,72,68.67,6.87,Yes,73.6,30000,29987,13,20,No,Good,Yes,6.0,11,8
S2077,Siddharth Chopra,Male,14,2011-08-01,11,A,Hyderabad,None,Good,Phone,Reading/Writing,Good,Robotics,33,34,43,91,47,67,52.5,5.25,Yes,67.1,80000,23038,56962,15,No,Poor,Yes,8.9,39,5
S2078,Vihaan Gupta,Other,14,2010-12-13,10,C,Kolkata,Graduate,Poor,Phone,Reading/Writing,Excellent,NCC,33,54,64,97,60,80,64.67,6.47,Yes,56.4,60000,20191,39809,4,Yes,Poor,Yes,9.9,23,0
S2079,Riya Khanna,Male,16,2009-09-22,12,E,Mumbai,None,Poor,Laptop,Kinesthetic,Good,Music,85,91,77,36,65,61,69.17,6.92,Yes,64.8,30000,10278,19722,14,No,Average,No,9.1,37,6
S2080,Ritika Singh,Male,16,2008-12-10,9,A,Chennai,Graduate,Excellent,Phone,Kinesthetic,Good,Coding,60,89,22,61,31,69,55.33,5.53,No,88.1,30000,20588,9412,11,No,Average,No,4.3,29,3
S2081,Kavya Shah,Male,17,2008-02-20,10,D,Hyderabad,Primary,Poor,Tablet,Visual,Poor,Debate,63,96,34,73,91,86,73.83,7.38,Yes,75.2,60000,35714,24286,23,Yes,Poor,Yes,6.2,46,1
S2082,Sana Bose,Male,18,2007-06-28,10,E,Chennai,None,Excellent,None,Visual,Excellent,Music,48,30,87,77,81,80,67.17,6.72,No,52.7,30000,17911,12089,14,Yes,Poor,No,2.0,38,2
S2083,Aisha Verma,Other,14,2011-01-26,11,E,Delhi,None,Poor,None,Kinesthetic,Excellent,Drama,55,76,48,97,39,34,58.17,5.82,Yes,84.4,50000,4017,45983,5,Yes,Good,No,9.8,19,5
S2084,Priya Joshi,Female,16,2009-07-07,11,A,Bengaluru,None,Excellent,Phone,Reading/Writing,Poor,None,51,55,42,29,100,55,55.33,5.53,No,52.6,100000,17545,82455,17,No,Average,No,2.1,10,10
S2085,Krisha Gupta,Female,16,2008-12-02,10,B,Delhi,Primary,Good,Tablet,Visual,Poor,None,75,71,91,54,28,79,66.33,6.63,No,71.5,40000,15805,24195,30,No,Poor,No,1.1,44,2
S2086,Sana Chopra,Female,17,2008-07-27,11,B,Mumbai,Secondary,Poor,None,Auditory,Excellent,Coding,25,20,50,96,52,100,57.17,5.72,No,70.0,40000,31336,8664,26,No,Average,Yes,6.6,49,4
S2087,Tanvi Malhotra,Other,15,2009-12-01,9,D,Nagpur,Postgraduate,Excellent,None,Auditory,Good,Sports,48,46,69,42,62,59,54.33,5.43,Yes,86.2,40000,33043,6957,23,No,Good,Yes,6.0,49,5
S2088,Aisha Bose,Other,14,2011-04-24,12,D,Kolkata,Graduate,Good,Laptop,Auditory,Average,Coding,96,36,96,69,60,33,65.0,6.5,Yes,93.8,60000,18221,41779,15,No,Average,No,5.5,40,4
S2089,Karan Kumar,Male,18,2007-11-07,12,B,Pune,Graduate,Average,Tablet,Kinesthetic,Average,Coding,66,98,27,42,51,74,59.67,5.97,No,50.0,100000,6148,93852,17,No,Poor,Yes,5.4,32,5
S2090,Maya Kapoor,Other,19,2006-09-13,10,B,Chennai,Primary,Poor,Tablet,Auditory,Poor,NSS,99,38,48,75,36,84,63.33,6.33,Yes,57.7,100000,79166,20834,27,No,Average,No,6.5,14,6
S2091,Ishaan Khanna,Male,16,2009-09-21,10,B,Hyderabad,Primary,Poor,Tablet,Auditory,Average,Drama,79,40,43,66,39,88,59.17,5.92,Yes,99.1,40000,10064,29936,17,No,Average,No,8.3,30,6
S2092,Tanvi Joshi,Other,19,2006-09-07,10,B,Bengaluru,Postgraduate,Excellent,None,Visual,Good,NSS,88,62,55,23,64,40,55.33,5.53,No,74.6,50000,21913,28087,18,Yes,Average,Yes,9.7,44,8
S2093,Priya Agarwal,Female,17,2008-11-01,11,E,Chennai,None,Average,None,Visual,Average,Sports,100,82,93,24,44,71,69.0,6.9,No,93.7,50000,11790,38210,29,No,Average,No,1.8,18,10
S2094,Siddharth Sharma,Female,14,2011-11-16,9,D,Pune,Graduate,Average,Tablet,Reading/Writing,Excellent,Dance,84,36,72,42,96,79,68.17,6.82,Yes,97.3,50000,22711,27289,27,Yes,Good,Yes,3.1,36,0
S2095,Kavya Dutta,Male,19,2006-01-05,12,C,Pune,None,Excellent,Phone,Reading/Writing,Excellent,Debate,29,58,96,60,75,85,67.17,6.72,No,60.8,50000,43563,6437,24,No,Good,No,1.7,31,7
S2096,Krisha Reddy,Other,14,2011-03-12,12,A,Nagpur,None,Excellent,Laptop,Reading/Writing,Average,Debate,80,100,68,84,90,32,75.67,7.57,No,62.9,80000,15314,64686,18,Yes,Average,No,7.8,35,0
S2097,Aisha Singh,Female,19,2006-03-30,12,A,Chennai,Graduate,Average,Tablet,Kinesthetic,Good,None,23,96,45,41,84,59,58.0,5.8,No,61.0,100000,60517,39483,2,Yes,Poor,Yes,9.3,21,8
S2098,Vihaan Verma,Male,15,2009-12-05,9,C,Bengaluru,Graduate,Excellent,None,Reading/Writing,Excellent,Music,73,67,31,47,72,100,65.0,6.5,No,99.8,80000,29698,50302,9,Yes,Average,No,5.2,44,7
S2099,Arjun Bhatia,Female,17,2008-10-05,10,E,Hyderabad,Secondary,Good,Phone,Visual,Good,NCC,86,98,97,46,27,58,68.67,6.87,No,70.9,40000,2999,37001,15,Yes,Average,Yes,5.1,29,3
S2100,Vihaan Agarwal,Female,17,2008-02-09,9,D,Kolkata,None,Good,None,Auditory,Excellent,Music,94,32,82,45,48,54,59.17,5.92,No,66.3,50000,24762,25238,13,No,Good,Yes,7.7,27,4
S2101,Priya Dutta,Other,18,2007-09-20,11,D,Mumbai,Secondary,Excellent,Laptop,Kinesthetic,Good,NSS,47,49,81,87,74,36,62.33,6.23,Yes,70.1,60000,23954,36046,1,No,Good,Yes,8.6,38,1
S2102,Maya Bhatia,Male,18,2007-01-16,9,C,Pune,Postgraduate,Good,Laptop,Auditory,Excellent,NSS,51,45,86,34,33,75,54.0,5.4,Yes,54.7,30000,20488,9512,26,No,Average,No,1.8,32,9
S2103,Rohit Gupta,Male,15,2010-01-26,12,A,Delhi,None,Poor,Phone,Reading/Writing,Excellent,Dance,24,42,92,41,55,93,57.83,5.78,No,75.5,40000,13256,26744,12,Yes,Poor,No,1.3,17,8
S2104,Rohit Kapoor,Female,16,2008-12-07,9,D,Nagpur,None,Average,Tablet,Reading/Writing,Good,None,94,85,51,35,71,71,67.83,6.78,Yes,77.5,80000,53868,26132,7,Yes,Good,Yes,8.8,10,3
S2105,Arjun Gupta,Other,16,2009-07-02,10,D,Bengaluru,Postgraduate,Excellent,None,Kinesthetic,Good,Dance,63,61,85,57,73,34,62.17,6.22,Yes,84.6,50000,9792,40208,27,Yes,Good,No,7.0,15,10
S2106,Sana Khandelwal,Female,18,2007-04-21,9,D,Delhi,Primary,Good,Laptop,Reading/Writing,Average,NSS,95,100,85,86,67,91,87.33,8.73,Yes,50.2,50000,22873,27127,7,No,Poor,Yes,6.6,44,5
S2107,Kavya Joshi,Male,16,2009-08-04,9,D,Kolkata,Postgraduate,Poor,Laptop,Visual,Average,Dance,97,40,59,29,71,77,62.17,6.22,No,71.8,60000,41729,18271,12,Yes,Poor,Yes,7.4,12,6
S2108,Vihaan Reddy,Female,18,2007-04-03,10,C,Bengaluru,Postgraduate,Excellent,Tablet,Reading/Writing,Excellent,Music,40,37,31,84,76,70,56.33,5.63,No,64.6,50000,28825,21175,19,No,Average,Yes,9.0,21,5
S2109,Ishaan Patel,Female,16,2009-01-12,12,E,Kolkata,Secondary,Average,Laptop,Visual,Average,NSS,97,74,89,77,59,85,80.17,8.02,Yes,55.9,40000,33607,6393,22,No,Poor,Yes,4.3,46,5
S2110,Riya Singh,Female,16,2009-05-13,12,E,Kolkata,Secondary,Good,None,Auditory,Good,Drama,39,24,95,79,100,80,69.5,6.95,No,97.5,60000,59649,351,29,No,Poor,No,7.1,48,9
S2111,Karan Joshi,Other,14,2011-11-22,11,D,Pune,None,Poor,Tablet,Visual,Good,Debate,26,69,42,81,67,41,54.33,5.43,No,53.6,60000,35827,24173,1,Yes,Average,Yes,2.0,50,5
S2112,Vihaan Kumar,Male,18,2007-11-10,9,D,Kolkata,Secondary,Average,Tablet,Visual,Good,None,63,85,81,79,51,82,73.5,7.35,Yes,60.8,80000,17115,62885,11,Yes,Poor,No,4.9,28,6
S2113,Maya Joshi,Female,14,2011-07-09,12,D,Pune,Postgraduate,Poor,Tablet,Visual,Average,Dance,69,83,92,63,78,75,76.67,7.67,Yes,98.1,100000,37050,62950,27,No,Average,No,2.4,43,9
S2114,Kavya Khanna,Other,16,2009-03-03,10,C,Chennai,Secondary,Good,None,Kinesthetic,Excellent,Music,63,76,21,84,97,91,72.0,7.2,No,74.4,30000,25563,4437,15,No,Good,No,3.1,44,1
S2115,Siddharth Verma,Other,15,2010-07-24,10,A,Pune,Postgraduate,Excellent,None,Kinesthetic,Good,Dance,88,56,99,89,38,40,68.33,6.83,Yes,92.2,100000,41763,58237,19,No,Average,No,6.2,15,6
S2116,Siddharth Khandelwal,Female,19,2006-02-12,9,B,Pune,Secondary,Average,Phone,Visual,Poor,Dance,97,90,23,74,52,65,66.83,6.68,No,56.4,100000,54639,45361,8,Yes,Good,No,4.5,43,0
